time_ms,neuron_0_voltage,neuron_1_voltage
3.478458049663999674e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.480725623359999332e+01,7.165081928390194532e-01,6.525242141202607371e-01
3.482993197055999701e+01,1.431391650546988803e+00,1.303568781496579287e+00
3.485260770751999360e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.487528344447999018e+01,7.165081928390194532e-01,6.525242141202607371e-01
3.489795918143999387e+01,1.431391650546988803e+00,1.303568781496579287e+00
3.492063491839999045e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.494331065535999414e+01,7.165081928390194532e-01,6.525242141202607371e-01
3.496598639231999073e+01,1.431391650546988803e+00,1.303568781496579287e+00
3.498866212927999442e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.501133786623999100e+01,7.165081928390194532e-01,6.525242141202607371e-01
3.503401360319999469e+01,1.431391650546988803e+00,1.303568781496579287e+00
3.505668934015999127e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.507936507711999496e+01,7.165081928390194532e-01,6.525242141202607371e-01
3.510204081407999155e+01,1.431391650546988803e+00,1.303568781496579287e+00
3.512471655103998813e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.514739228799999182e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.517006802495998841e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.519274376191999210e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.521541949887998868e+01,7.165081928390194532e-01,6.525242141202607371e-01
3.523809523583999237e+01,7.148834577079692387e-01,6.510445673763185503e-01
3.526077097279998895e+01,7.132624067835651172e-01,6.495682758404123236e-01
3.528344670975999264e+01,7.116450317115970980e-01,6.480953319043605276e-01
3.530612244671998923e+01,7.100313241567988154e-01,6.466257279772338329e-01
3.532879818367999292e+01,7.084212758028048951e-01,6.451594564853158076e-01
3.535147392063999661e+01,7.068148783521077672e-01,6.436965098720640599e-01
3.537414965759999319e+01,7.052121235260151444e-01,6.422368805980711581e-01
3.539682539455999688e+01,7.036130030646072786e-01,6.407805611410258839e-01
3.541950113151999346e+01,7.020175087266944391e-01,6.393275439956743744e-01
3.544217686847999715e+01,7.004256322897743914e-01,6.378778216737814866e-01
3.546485260543999374e+01,6.988373655499899861e-01,6.364313867040922723e-01
